indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
People above poverty,People above poverty,2013–17,Saint Elizabeths,555.64791963,772.07996387,0.719676647,above poverty,more,people,more people in Saint Elizabeths would be above the poverty threshold.,A higher share of people are above the poverty threshold in Saint Elizabeths than in
People above poverty,People above poverty,2013–17,Joint Base Anacostia-Bolling,5005.4343467,6004.0511167,0.8336761712,above poverty,more,people,more people in Joint Base Anacostia-Bolling would be above the poverty threshold.,A higher share of people are above the poverty threshold in Joint Base Anacostia-Bolling than in
Children above poverty,Children above poverty,2013-17,"Kalorama Heights, Adams Morgan, Lanier Heights",1490.9512481,1547.6694904,0.9633524841,above poverty,more,children,"more children in Kalorama Heights, Adams Morgan, and Lanier Heights would be above the poverty threshold.","A higher share of children are above the poverty threshold in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
Children above poverty,Children above poverty,2013-17,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",5512.84288,7877.9691709,0.6997796971,above poverty,more,children,"more children in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would be above the poverty threshold.","A higher share of children are above the poverty threshold in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
Children above poverty,Children above poverty,2013-17,"Howard University, Le Droit Park, Cardozo/Shaw",905.95186491,1127.8720161,0.8032399527,above poverty,more,children,"more children in Howard University, Le Droit Park, and Cardozo/Shaw would be above the poverty threshold.","A higher share of children are above the poverty threshold in Howard University, Le Droit Park, and Cardozo/Shaw than in"
Children above poverty,Children above poverty,2013-17,"Georgetown, Burleith/Hillandale",1367.7348612,1403.1623799,0.9747516615,above poverty,more,children,more children in Georgetown and Burleith/Hillandale would be above the poverty threshold.,A higher share of children are above the poverty threshold in Georgetown and Burleith/Hillandale than in
Children above poverty,Children above poverty,2013-17,"West End, Foggy Bottom, GWU",352.64413131,396.87782941,0.8885458073,above poverty,more,children,"more children in West End, Foggy Bottom, and GWU would be above the poverty threshold.","A higher share of children are above the poverty threshold in West End, Foggy Bottom, and GWU than in"
Children above poverty,Children above poverty,2013-17,"Dupont Circle, Connecticut Avenue/K Street",909.22419663,996.37118102,0.9125356232,above poverty,more,children,more children in Dupont Circle and Connecticut Avenue/K Street would be above the poverty threshold.,A higher share of children are above the poverty threshold in Dupont Circle and Connecticut Avenue/K Street than in
Children above poverty,Children above poverty,2013-17,"Shaw, Logan Circle",1577.567294,1887.2627155,0.8359023262,above poverty,more,children,more children in Shaw and Logan Circle would be above the poverty threshold.,A higher share of children are above the poverty threshold in Shaw and Logan Circle than in
Children above poverty,Children above poverty,2013-17,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",1702.2258397,2130.5304182,0.7989680997,above poverty,more,children,"more children in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would be above the poverty threshold.","A higher share of children are above the poverty threshold in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
Children above poverty,Children above poverty,2013-17,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",737,1314,0.5608828006,above poverty,more,children,"more children in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would be above the poverty threshold.","A higher share of children are above the poverty threshold in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
Children above poverty,Children above poverty,2013-17,"Hawthorne, Barnaby Woods, Chevy Chase",3700.7357188,3789.7357188,0.9765155128,above poverty,more,children,"more children in Hawthorne, Barnaby Woods, and Chevy Chase would be above the poverty threshold.","A higher share of children are above the poverty threshold in Hawthorne, Barnaby Woods, and Chevy Chase than in"
Children above poverty,Children above poverty,2013-17,"Friendship Heights, American University Park, Tenleytown",2894.7043819,2894.7043819,1,above poverty,more,children,"more children in Friendship Heights, American University Park, and Tenleytown would be above the poverty threshold.","A higher share of children are above the poverty threshold in Friendship Heights, American University Park, and Tenleytown than in"
Children above poverty,Children above poverty,2013-17,"North Cleveland Park, Forest Hills, Van Ness",1555.7115963,1604.5178794,0.9695819637,above poverty,more,children,"more children in North Cleveland Park, Forest Hills, and Van Ness would be above the poverty threshold.","A higher share of children are above the poverty threshold in North Cleveland Park, Forest Hills, and Van Ness than in"
Children above poverty,Children above poverty,2013-17,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",3006.3298554,3111.6699955,0.9661467507,above poverty,more,children,"more children in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir would be above the poverty threshold.","A higher share of children are above the poverty threshold in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
Children above poverty,Children above poverty,2013-17,"Cathedral Heights, McLean Gardens, Glover Park",2146.801936,2233.9964448,0.9609692715,above poverty,more,children,"more children in Cathedral Heights, McLean Gardens, and Glover Park would be above the poverty threshold.","A higher share of children are above the poverty threshold in Cathedral Heights, McLean Gardens, and Glover Park than in"
Children above poverty,Children above poverty,2013-17,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1957.5203054,2069.3723539,0.9459488051,above poverty,more,children,"more children in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace would be above the poverty threshold.","A higher share of children are above the poverty threshold in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
Children above poverty,Children above poverty,2013-17,"Colonial Village, Shepherd Park, North Portal Estates",1069.4212787,1069.4212787,1,above poverty,more,children,"more children in Colonial Village, Shepherd Park, and North Portal Estates would be above the poverty threshold.","A higher share of children are above the poverty threshold in Colonial Village, Shepherd Park, and North Portal Estates than in"
Children above poverty,Children above poverty,2013-17,"Takoma, Brightwood, Manor Park",3912.136587,4986.2356906,0.7845871775,above poverty,more,children,"more children in Takoma, Brightwood, and Manor Park would be above the poverty threshold.","A higher share of children are above the poverty threshold in Takoma, Brightwood, and Manor Park than in"
Children above poverty,Children above poverty,2013-17,"Brightwood Park, Crestwood, Petworth",6112.5667196,6865.1770507,0.8903727718,above poverty,more,children,"more children in Brightwood Park, Crestwood, and Petworth would be above the poverty threshold.","A higher share of children are above the poverty threshold in Brightwood Park, Crestwood, and Petworth than in"
Children above poverty,Children above poverty,2013-17,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",2699.2134066,2934.1986903,0.9199150063,above poverty,more,children,"more children in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill would be above the poverty threshold.","A higher share of children are above the poverty threshold in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
Children above poverty,Children above poverty,2013-17,"North Michigan Park, Michigan Park, University Heights",2384.7036499,2410.7034346,0.9892148556,above poverty,more,children,"more children in North Michigan Park, Michigan Park, and University Heights would be above the poverty threshold.","A higher share of children are above the poverty threshold in North Michigan Park, Michigan Park, and University Heights than in"
Children above poverty,Children above poverty,2013-17,"Edgewood, Bloomingdale, Truxton Circle, Eckington",2344.1544107,3047.4894258,0.7692083821,above poverty,more,children,"more children in Edgewood, Bloomingdale, Truxton Circle, and Eckington would be above the poverty threshold.","A higher share of children are above the poverty threshold in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
Children above poverty,Children above poverty,2013-17,"Brookland, Brentwood, Langdon",2279.1428087,2993.8660759,0.7612707953,above poverty,more,children,"more children in Brookland, Brentwood, and Langdon would be above the poverty threshold.","A higher share of children are above the poverty threshold in Brookland, Brentwood, and Langdon than in"
Children above poverty,Children above poverty,2013-17,"Ivy City, Arboretum, Trinidad, Carver Langston",1831.8719901,2970.9049187,0.616604045,above poverty,more,children,"more children in Ivy City, Arboretum, Trinidad, and Carver Langston would be above the poverty threshold.","A higher share of children are above the poverty threshold in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
Children above poverty,Children above poverty,2013-17,"Woodridge, Fort Lincoln, Gateway",1371.7374322,1434.0756861,0.9565307086,above poverty,more,children,"more children in Woodridge, Fort Lincoln, and Gateway would be above the poverty threshold.","A higher share of children are above the poverty threshold in Woodridge, Fort Lincoln, and Gateway than in"
Children above poverty,Children above poverty,2013-17,"Union Station, Stanton Park, Kingman Park",3804.2681542,4233.7999433,0.8985469803,above poverty,more,children,"more children in Union Station, Stanton Park, and Kingman Park would be above the poverty threshold.","A higher share of children are above the poverty threshold in Union Station, Stanton Park, and Kingman Park than in"
Children above poverty,Children above poverty,2013-17,"Capitol Hill, Lincoln Park",3892.0572888,4443.3759955,0.8759234629,above poverty,more,children,more children in Capitol Hill and Lincoln Park would be above the poverty threshold.,A higher share of children are above the poverty threshold in Capitol Hill and Lincoln Park than in
Children above poverty,Children above poverty,2013-17,"Near Southeast, Navy Yard",373,406,0.9187192118,above poverty,more,children,more children in Near Southeast and Navy Yard would be above the poverty threshold.,A higher share of children are above the poverty threshold in Near Southeast and Navy Yard than in
Children above poverty,Children above poverty,2013-17,Historic Anacostia,721.75603689,1750.0508453,0.4124200384,above poverty,more,children,more children in Historic Anacostia would be above the poverty threshold.,A higher share of children are above the poverty threshold in Historic Anacostia than in
Children above poverty,Children above poverty,2013-17,"Eastland Gardens, Kenilworth",265.8797546,657.20981595,0.4045584046,above poverty,more,children,more children in Eastland Gardens and Kenilworth would be above the poverty threshold.,A higher share of children are above the poverty threshold in Eastland Gardens and Kenilworth than in
Children above poverty,Children above poverty,2013-17,"Mayfair, Hillbrook, Mahaning Heights",978.42035146,2003.5653337,0.4883396289,above poverty,more,children,"more children in Mayfair, Hillbrook, and Mahaning Heights would be above the poverty threshold.","A higher share of children are above the poverty threshold in Mayfair, Hillbrook, and Mahaning Heights than in"
Children above poverty,Children above poverty,2013-17,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",1927.2214689,3289.0530103,0.5859502607,above poverty,more,children,"more children in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights would be above the poverty threshold.","A higher share of children are above the poverty threshold in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
Children above poverty,Children above poverty,2013-17,"River Terrace, Benning, Greenway, Dupont Park",2486.9949031,3551.592928,0.7002477349,above poverty,more,children,"more children in River Terrace, Benning, Greenway, and Dupont Park would be above the poverty threshold.","A higher share of children are above the poverty threshold in River Terrace, Benning, Greenway, and Dupont Park than in"
Children above poverty,Children above poverty,2013-17,"Capitol View, Marshall Heights, Benning Heights",3128.5570832,5370.3690638,0.5825590469,above poverty,more,children,"more children in Capitol View, Marshall Heights, and Benning Heights would be above the poverty threshold.","A higher share of children are above the poverty threshold in Capitol View, Marshall Heights, and Benning Heights than in"
Children above poverty,Children above poverty,2013-17,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",2429.788183,3422.234256,0.7100005439,above poverty,more,children,"more children in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont would be above the poverty threshold.","A higher share of children are above the poverty threshold in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
Children above poverty,Children above poverty,2013-17,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",633.13825573,1368.9755922,0.4624905362,above poverty,more,children,"more children in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park would be above the poverty threshold.","A higher share of children are above the poverty threshold in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
Children above poverty,Children above poverty,2013-17,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",1062.3640553,2988.2281106,0.355516385,above poverty,more,children,"more children in Woodland/Fort Stanton, Garfield Heights, and Knox Hill would be above the poverty threshold.","A higher share of children are above the poverty threshold in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
Children above poverty,Children above poverty,2013-17,"Sheridan, Barry Farm, Buena Vista",1454.8799078,3092.7210441,0.4704206707,above poverty,more,children,"more children in Sheridan, Barry Farm, and Buena Vista would be above the poverty threshold.","A higher share of children are above the poverty threshold in Sheridan, Barry Farm, and Buena Vista than in"
Children above poverty,Children above poverty,2013-17,"Douglas, Shipley Terrace",2489.5001334,4538.8950142,0.5484815414,above poverty,more,children,more children in Douglas and Shipley Terrace would be above the poverty threshold.,A higher share of children are above the poverty threshold in Douglas and Shipley Terrace than in
Children above poverty,Children above poverty,2013-17,"Congress Heights, Bellevue, Washington Highlands",4711.5770842,9135.6089998,0.5157376026,above poverty,more,children,"more children in Congress Heights, Bellevue, and Washington Highlands would be above the poverty threshold.","A higher share of children are above the poverty threshold in Congress Heights, Bellevue, and Washington Highlands than in"
Children above poverty,Children above poverty,2013-17,Walter Reed,59.705051773,68.727643552,0.868719611,above poverty,more,children,more children in Walter Reed would be above the poverty threshold.,A higher share of children are above the poverty threshold in Walter Reed than in
Children above poverty,Children above poverty,2013-17,Rock Creek Park,166.28194932,179.95463366,0.9240214933,above poverty,more,children,more children in Rock Creek Park would be above the poverty threshold.,A higher share of children are above the poverty threshold in Rock Creek Park than in
Children above poverty,Children above poverty,2013-17,Saint Elizabeths,164.5547866,229.05811263,0.7183975486,above poverty,more,children,more children in Saint Elizabeths would be above the poverty threshold.,A higher share of children are above the poverty threshold in Saint Elizabeths than in
Children above poverty,Children above poverty,2013-17,Joint Base Anacostia-Bolling,1902.3679958,2253.4378734,0.8442069862,above poverty,more,children,more children in Joint Base Anacostia-Bolling would be above the poverty threshold.,A higher share of children are above the poverty threshold in Joint Base Anacostia-Bolling than in
"Family income over $75,000 per year",Family income,2013-17,"Kalorama Heights, Adams Morgan, Lanier Heights",2702.8262597,3190.4939873,0.8471497738,over $75K,more,families,"more families in Kalorama Heights, Adams Morgan, and Lanier Heights would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
"Family income over $75,000 per year",Family income,2013-17,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4157.4778856,8067.5725174,0.515331951,over $75K,more,families,"more families in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
"Family income over $75,000 per year",Family income,2013-17,"Howard University, Le Droit Park, Cardozo/Shaw",1233.3608978,1666.0767788,0.7402785475,over $75K,more,families,"more families in Howard University, Le Droit Park, and Cardozo/Shaw would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Howard University, Le Droit Park, and Cardozo/Shaw than in"
"Family income over $75,000 per year",Family income,2013-17,"Georgetown, Burleith/Hillandale",1972.2500896,2068.1336684,0.9536376298,over $75K,more,families,"more families in Georgetown and Burleith/Hillandale would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Georgetown and Burleith/Hillandale than in"
"Family income over $75,000 per year",Family income,2013-17,"West End, Foggy Bottom, GWU",1014.2376829,1288.3943099,0.7872106195,over $75K,more,families,"more families in West End, Foggy Bottom, and GWU would have incomes over $75,000.","A higher share of families have incomes over $75,000 in West End, Foggy Bottom, and GWU than in"
"Family income over $75,000 per year",Family income,2013-17,"Dupont Circle, Connecticut Avenue/K Street",2044.667102,2518.7882439,0.8117661765,over $75K,more,families,"more families in Dupont Circle and Connecticut Avenue/K Street would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Dupont Circle and Connecticut Avenue/K Street than in"
"Family income over $75,000 per year",Family income,2013-17,"Shaw, Logan Circle",2037.4659995,2975.0502487,0.6848509535,over $75K,more,families,"more families in Shaw and Logan Circle would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Shaw and Logan Circle than in"
"Family income over $75,000 per year",Family income,2013-17,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",1412.460659,2722.2686286,0.5188542542,over $75K,more,families,"more families in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
"Family income over $75,000 per year",Family income,2013-17,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",1456,2331,0.6246246246,over $75K,more,families,"more families in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
"Family income over $75,000 per year",Family income,2013-17,"Hawthorne, Barnaby Woods, Chevy Chase",3297.8587571,3637.1079724,0.9067255584,over $75K,more,families,"more families in Hawthorne, Barnaby Woods, and Chevy Chase would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Hawthorne, Barnaby Woods, and Chevy Chase than in"
"Family income over $75,000 per year",Family income,2013-17,"Friendship Heights, American University Park, Tenleytown",2702.145532,2924.8837346,0.9238471602,over $75K,more,families,"more families in Friendship Heights, American University Park, and Tenleytown would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Friendship Heights, American University Park, and Tenleytown than in"
"Family income over $75,000 per year",Family income,2013-17,"North Cleveland Park, Forest Hills, Van Ness",2017.8905945,2253.772257,0.8953391756,over $75K,more,families,"more families in North Cleveland Park, Forest Hills, and Van Ness would have incomes over $75,000.","A higher share of families have incomes over $75,000 in North Cleveland Park, Forest Hills, and Van Ness than in"
"Family income over $75,000 per year",Family income,2013-17,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2860.8257564,3175.6761067,0.9008556478,over $75K,more,families,"more families in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
"Family income over $75,000 per year",Family income,2013-17,"Cathedral Heights, McLean Gardens, Glover Park",2903.441423,3401.4432728,0.8535910171,over $75K,more,families,"more families in Cathedral Heights, McLean Gardens, and Glover Park would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Cathedral Heights, McLean Gardens, and Glover Park than in"
"Family income over $75,000 per year",Family income,2013-17,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",2896.0994241,3215.7075349,0.90061033,over $75K,more,families,"more families in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
"Family income over $75,000 per year",Family income,2013-17,"Colonial Village, Shepherd Park, North Portal Estates",982.89537528,1087.8931008,0.9034852547,over $75K,more,families,"more families in Colonial Village, Shepherd Park, and North Portal Estates would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Colonial Village, Shepherd Park, and North Portal Estates than in"
"Family income over $75,000 per year",Family income,2013-17,"Takoma, Brightwood, Manor Park",2614.5478228,5089.8953518,0.5136741803,over $75K,more,families,"more families in Takoma, Brightwood, and Manor Park would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Takoma, Brightwood, and Manor Park than in"
"Family income over $75,000 per year",Family income,2013-17,"Brightwood Park, Crestwood, Petworth",4595.9969435,7666.1474767,0.5995184618,over $75K,more,families,"more families in Brightwood Park, Crestwood, and Petworth would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Brightwood Park, Crestwood, and Petworth than in"
"Family income over $75,000 per year",Family income,2013-17,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",1415.5336537,2834.0080115,0.4994811758,over $75K,more,families,"more families in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
"Family income over $75,000 per year",Family income,2013-17,"North Michigan Park, Michigan Park, University Heights",1708.6523557,2579.626208,0.6623643187,over $75K,more,families,"more families in North Michigan Park, Michigan Park, and University Heights would have incomes over $75,000.","A higher share of families have incomes over $75,000 in North Michigan Park, Michigan Park, and University Heights than in"
"Family income over $75,000 per year",Family income,2013-17,"Edgewood, Bloomingdale, Truxton Circle, Eckington",2490.9137552,3878.936394,0.6421641146,over $75K,more,families,"more families in Edgewood, Bloomingdale, Truxton Circle, and Eckington would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
"Family income over $75,000 per year",Family income,2013-17,"Brookland, Brentwood, Langdon",1537.3569671,2827.556729,0.5437050834,over $75K,more,families,"more families in Brookland, Brentwood, and Langdon would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Brookland, Brentwood, and Langdon than in"
"Family income over $75,000 per year",Family income,2013-17,"Ivy City, Arboretum, Trinidad, Carver Langston",854.77464499,2876.0065857,0.2972088622,over $75K,more,families,"more families in Ivy City, Arboretum, Trinidad, and Carver Langston would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
"Family income over $75,000 per year",Family income,2013-17,"Woodridge, Fort Lincoln, Gateway",1064.8750813,1608.1646915,0.6621679278,over $75K,more,families,"more families in Woodridge, Fort Lincoln, and Gateway would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Woodridge, Fort Lincoln, and Gateway than in"
"Family income over $75,000 per year",Family income,2013-17,"Union Station, Stanton Park, Kingman Park",3969.3752696,5114.6911134,0.7760733115,over $75K,more,families,"more families in Union Station, Stanton Park, and Kingman Park would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Union Station, Stanton Park, and Kingman Park than in"
"Family income over $75,000 per year",Family income,2013-17,"Capitol Hill, Lincoln Park",4501.4635641,5429.6467959,0.829052742,over $75K,more,families,"more families in Capitol Hill and Lincoln Park would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Capitol Hill and Lincoln Park than in"
"Family income over $75,000 per year",Family income,2013-17,"Near Southeast, Navy Yard",623,748,0.8328877005,over $75K,more,families,"more families in Near Southeast and Navy Yard would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Near Southeast and Navy Yard than in"
"Family income over $75,000 per year",Family income,2013-17,Historic Anacostia,282.18508129,1148.0685945,0.2457911336,over $75K,more,families,"more families in Historic Anacostia would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Historic Anacostia than in"
"Family income over $75,000 per year",Family income,2013-17,"Eastland Gardens, Kenilworth",92.683435583,549.54723926,0.1686541738,over $75K,more,families,"more families in Eastland Gardens and Kenilworth would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Eastland Gardens and Kenilworth than in"
"Family income over $75,000 per year",Family income,2013-17,"Mayfair, Hillbrook, Mahaning Heights",370.6116357,1520.787571,0.2436971756,over $75K,more,families,"more families in Mayfair, Hillbrook, and Mahaning Heights would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Mayfair, Hillbrook, and Mahaning Heights than in"
"Family income over $75,000 per year",Family income,2013-17,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",905.43934265,3019.978612,0.2998164752,over $75K,more,families,"more families in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
"Family income over $75,000 per year",Family income,2013-17,"River Terrace, Benning, Greenway, Dupont Park",732.12083577,3019.8107192,0.2424393129,over $75K,more,families,"more families in River Terrace, Benning, Greenway, and Dupont Park would have incomes over $75,000.","A higher share of families have incomes over $75,000 in River Terrace, Benning, Greenway, and Dupont Park than in"
"Family income over $75,000 per year",Family income,2013-17,"Capitol View, Marshall Heights, Benning Heights",1178.6814334,4409.5859416,0.2672997984,over $75K,more,families,"more families in Capitol View, Marshall Heights, and Benning Heights would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Capitol View, Marshall Heights, and Benning Heights than in"
"Family income over $75,000 per year",Family income,2013-17,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",1602.6895867,4005.4723051,0.4001249952,over $75K,more,families,"more families in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
"Family income over $75,000 per year",Family income,2013-17,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",409.77373021,1148.8176119,0.3566917202,over $75K,more,families,"more families in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
"Family income over $75,000 per year",Family income,2013-17,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",289.84562212,1748.3502304,0.165782357,over $75K,more,families,"more families in Woodland/Fort Stanton, Garfield Heights, and Knox Hill would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
"Family income over $75,000 per year",Family income,2013-17,"Sheridan, Barry Farm, Buena Vista",209.96929659,1947.5811751,0.1078102927,over $75K,more,families,"more families in Sheridan, Barry Farm, and Buena Vista would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Sheridan, Barry Farm, and Buena Vista than in"
"Family income over $75,000 per year",Family income,2013-17,"Douglas, Shipley Terrace",620.84524412,3092.4328029,0.2007627275,over $75K,more,families,"more families in Douglas and Shipley Terrace would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Douglas and Shipley Terrace than in"
"Family income over $75,000 per year",Family income,2013-17,"Congress Heights, Bellevue, Washington Highlands",1533.2973809,6682.5516048,0.2294478923,over $75K,more,families,"more families in Congress Heights, Bellevue, and Washington Highlands would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Congress Heights, Bellevue, and Washington Highlands than in"
"Family income over $75,000 per year",Family income,2013-17,Walter Reed,44.667398808,82.428616254,0.5418918919,over $75K,more,families,"more families in Walter Reed would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Walter Reed than in"
"Family income over $75,000 per year",Family income,2013-17,Rock Creek Park,148.64769681,202.27590172,0.7348759568,over $75K,more,families,"more families in Rock Creek Park would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Rock Creek Park than in"
"Family income over $75,000 per year",Family income,2013-17,Saint Elizabeths,54.40254081,148.32150137,0.3667879593,over $75K,more,families,"more families in Saint Elizabeths would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Saint Elizabeths than in"
"Family income over $75,000 per year",Family income,2013-17,Joint Base Anacostia-Bolling,703.4548342,1438.694091,0.4889537245,over $75K,more,families,"more families in Joint Base Anacostia-Bolling would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Joint Base Anacostia-Bolling than in"
Unemployment rate,Unemployment,2013-17,"Kalorama Heights, Adams Morgan, Lanier Heights",555.85881268,15274.02392,0.0363924278,unemployed,fewer,adults,"more adults in Kalorama Heights, Adams Morgan, and Lanier Heights would be employed.","A higher share of people are employed in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
Unemployment rate,Unemployment,2013-17,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1917.6693718,34472.62952,0.0556287524,unemployed,fewer,adults,"more adults in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would be employed.","A higher share of people are employed in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
Unemployment rate,Unemployment,2013-17,"Howard University, Le Droit Park, Cardozo/Shaw",453.69745848,9407.0243705,0.0482296463,unemployed,fewer,adults,"more adults in Howard University, Le Droit Park, and Cardozo/Shaw would be employed.","A higher share of people are employed in Howard University, Le Droit Park, and Cardozo/Shaw than in"
